CELL_ID	LONGITUDE	LATITUDE
60001	112.568	35.0946
60002	112.567	35.0929
60003	112.703	35.0775
60004	112.281	35.1129
60005	112.712	35.1629
60006	112.544	35.1581
60007	112.518	34.9235
60008	112.587	35.0931
60009	112.586	35.0927
60010	112.498	35.1064
60011	112.129	35.1552
60012	112.129	35.1552
60013	112.681	35.1337
60014	112.587	35.0407
60015	112.615	35.0898
60016	112.578	35.0875
60017	112.578	35.0872
60018	112.597	35.0905
60019	112.588	35.1003
60020	112.561	35.1073
60021	112.587	35.0807
60022	112.588	35.08
60023	112.618	35.177
60024	112.485	35.0757
60025	112.179	35.0108
60026	112.418	34.9234
60027	112.574	35.0939
60028	112.576	35.0938
60029	112.587	35.0726
60030	112.602	35.076
60031	112.602	35.0752
60032	112.54	35.0975
60033	112.542	34.9933
60034	112.694	35.1987
60035	112.655	35.0945
60036	112.564	35.1312
60037	112.266	35.1498
60038	112.421	35.0859
60039	112.425	35.1072
60040	112.505	35.1647
60041	112.304	35.0073
60042	112.428	35.1815
60043	112.559	35.0501
60044	112.657	35.0368
60045	112.212	35.0642
60046	112.162	35.1916
60047	112.432	35.0177
60048	112.448	35.076
60049	112.447	34.923
60050	112.558	35.0917
60051	112.561	35.0767
60052	112.721	35.1465
60053	112.657	35.0694
60054	112.602	35.0837
60055	112.601	35.0834
60056	112.602	35.0837
60057	112.55	34.9652
60058	112.57	34.9921
60059	112.579	35.1056
60060	112.589	35.0766
60061	112.59	35.076
60062	112.578	35.1685
60063	112.712	35.1077
60064	112.275	35.1825
60065	112.336	35.1138
60066	112.353	35.1052
60067	112.616	35.1054
60068	112.197	35.042
60069	112.593	35.0672
60070	112.592	35.0671
60071	112.593	35.067
60072	112.386	35.1139
60073	112.514	35.0682
60074	112.571	35.0869
60075	112.572	35.087
60076	112.524	35.1234
60077	112.573	35.1002
60078	112.588	35.0893
60079	112.588	35.0883
60080	112.462	35.1055
60081	112.625	35.0403
60082	112.724	35.0489
60083	112.349	35.0714
60084	112.351	35.0333
60085	112.354	34.9977
60086	112.075	35.1364
60087	112.19	35.136
60088	112.231	35.1185
60089	112.228	35.077
60090	112.337	35.1134
60091	112.414	34.9883
60092	112.486	34.9498
60093	112.741	35.1106
60094	112.505	35.0367
60095	112.643	35.1292
60096	112.236	35.1698
60097	112.086	35.0698
60098	112.273	35.0281
60099	112.453	34.9649
60100	112.601	35.0038
60101	112.391	35.0835
60102	112.332	35.0535
60103	112.38	35.0424
60104	112.137	35.2072
60105	112.468	35.0495
60106	112.447	35.0198
60107	112.116	35.2525
60108	112.715	35.1787
60109	112.659	35.1735
60110	112.685	35.0472
60111	112.25	35.0466
60112	112.13	35.1224
60113	112.574	35.0919
60114	112.6	35.0703
60115	112.573	35.0785
60116	112.576	35.0794
60117	112.683	35.1045
60118	112.481	35.0206
60119	112.75	35.1045
60120	112.393	35.1411
60121	112.75	35.1678
60122	112.465	35.1745
60123	112.447	35.0026
60124	112.61	35.0715
60125	112.217	34.9996
60126	112.472	34.9325
60127	112.633	35.0954
60128	112.569	35.061
60129	112.595	35.1276
60130	112.529	35.0233
60131	112.414	35.1378
60132	112.09	35.1516
60133	112.54	35.0669
60134	112.174	35.1064
60135	112.752	35.1444
60136	112.29	35.0791
60137	112.525	34.9568
60138	112.464	35.1308
60139	112.645	35.0161
60140	112.323	35.0921
60141	112.582	35.0936
60142	112.573	35.0923
60143	112.581	35.0926
60144	112.512	35.1457
60145	112.602	35.0945
60146	112.66	35.0694
60147	112.541	35.1849
60148	112.521	35.1015
60149	112.584	35.0968
60150	112.703	35.1795
60151	112.631	35.031
60152	112.664	35.1274
60153	112.566	35.0698
60154	112.489	35.1146
60155	112.4	35.0971
60156	112.586	35.1082
60157	112.595	35.1097
60158	112.461	35.0834
60159	112.48	35.0932
60160	112.602	35.0908
60161	112.551	35.1212
60162	112.308	35.1211
60163	112.585	35.0911
60164	112.585	35.0911
60165	112.551	35.0957
60166	112.515	35.1851
60167	112.664	35.0032
60168	112.613	35.021
60169	112.601	35.057
60170	112.537	35.0795
60171	112.737	35.0866
60172	112.698	35.0375
60173	112.202	35.093
60174	112.361	34.9668
60175	112.269	35.0817
60176	112.591	34.9842
60177	112.634	34.986
60178	112.627	35.1149
60179	112.229	35.143
60180	112.581	35.0698
60181	112.217	35.1143
60182	112.595	35.0767
60183	112.596	35.0763
60184	112.596	35.0763
60185	112.581	35.0798
60186	112.58	35.0797
60187	112.578	35.0911
60188	112.579	35.0913
60189	112.567	35.0871
60190	112.567	35.0872
60191	112.566	35.1129
60192	112.584	35.0859
60193	112.584	35.0857
60194	112.394	34.9744
60195	112.605	35.0961
60196	112.609	35.0741
60197	112.596	35.0816
60198	112.596	35.0816
60199	112.567	35.0817
60200	112.566	35.0819
60201	112.568	35.0998
60202	112.573	35.0705
60203	112.602	35.0836
60204	112.056	35.1816
60205	112.058	35.1022
60206	112.062	35.0684
60207	112.499	35.0556
60208	112.421	34.9322
60209	112.576	35.1202
60210	112.599	35.1768
60211	112.51	35.1133
60212	112.531	35.1334
60213	112.61	35.0873
60214	112.579	35.0686
60215	112.579	35.0689
60216	112.581	35.0691
60217	112.6	35.0701
60218	112.591	35.1026
60219	112.595	35.0956
60220	112.138	35.0371
60221	112.686	35.0247
60222	112.574	35.1387
60223	112.164	35.0374
60224	112.154	35.0876
60225	112.35	35.0931
60226	112.585	35.0619
60227	112.597	35.0887
60228	112.606	35.0821
60229	112.396	35.2265
60230	112.539	35.1095
60231	112.589	35.0832
60232	112.666	35.1426
60233	112.58	35.1865
60234	112.195	35.0337
60235	112.303	35.176
60236	112.258	35.1282
60237	112.708	35.0918
60238	112.082	35.1088
60239	112.264	35.0181
60240	112.371	35.0116
60241	112.578	35.0243
60242	112.186	35.2466
60243	112.501	35.0849
60244	112.694	35.1449
60245	112.63	35.0842
60246	112.216	34.9837
60247	112.627	34.9992
60248	112.211	35.0583
60249	112.592	35.0926
60250	112.592	35.0935
60251	112.55	35.0278
60252	112.568	35.099
60253	112.618	35.0808
60254	112.574	35.0919
60255	112.561	35.0937
60256	112.61	35.0989
60257	112.602	35.0903
60258	112.606	35.0744
60259	112.599	35.0911
60260	112.592	35.0778
60261	112.591	35.0779
60262	112.593	35.0775
60263	112.593	35.0791
60264	112.595	35.0468
60265	112.6	35.093
60266	112.603	35.0772
60267	112.606	35.0761
60268	112.605	35.0667
60269	112.625	35.089
60270	112.569	35.1038
60271	112.59	35.0665
60272	112.581	35.0691
60273	112.602	35.0752
60274	112.608	35.1103
60275	112.596	35.0696
60276	112.595	35.0688
60277	112.596	35.0711
60278	112.621	35.0685
60279	112.593	35.0685
60280	112.602	35.0909
60281	112.59	35.2161
60282	112.614	35.0817
60283	112.599	35.0771
60284	112.599	35.0769
60285	112.593	35.0774
60286	112.594	35.0779
60287	112.581	35.1534
60288	112.6	35.0636
60289	112.662	35.0635
60290	112.676	35.1169
60291	112.605	35.0618
60292	112.606	35.1058
60293	112.585	35.1032
60294	112.703	35.1795
60295	112.65	35.1856
60296	112.569	35.0716
60297	112.569	35.0716
60298	112.57	35.0706
60299	112.595	35.0468
60300	112.723	35.1711
60301	112.595	35.0917
60302	112.636	35.0543
60303	112.453	35.1521
60304	112.538	35.1656
60305	112.574	35.0982
60306	112.592	35.0897
60307	112.612	35.1282
60308	112.729	35.1346
